PC1,PC2,Material
-4.407886683147758,-2.702382857962789,BlackASA
-2.6280380768675458,2.4031707762015357,BlackASA
-3.8804099940784216,-2.3808977505100875,BlackASA
-2.0491466389720494,2.894622388012075,BlackASA
-3.6790527633503185,-1.6780976809908084,BlackASA
-1.687620023171542,4.200486901046696,BlackASA
-3.860522678557312,-1.7166261956196747,BlackASA
-1.9262089153806392,4.241382498388321,BlackASA
-3.343846138290806,-0.4711112701833127,BlackASA
-1.0852717596315444,6.508224926446233,BlackASA
-3.512316606055186,-0.7253738827738344,BlackASA
-1.3678460538537764,6.112539025747177,BlackASA
-3.8838851429470562,-2.127219761036386,BlackASA
-1.9655376587343105,3.4374912631621704,BlackASA
-3.385826969479139,-0.3035019726924145,BlackASA
-1.063623817189207,6.808685374350825,BlackASA
-2.5320867281327626,-0.38103988449227055,BlackASA
-0.34046147664467785,6.749132936304329,BlackASA
-2.819956201120044,-0.41889197366933584,BlackASA
-1.0308926885014111,6.680209523667524,BlackASA
-2.7763196606266747,-0.37638470253708517,BlackASA
-0.40131050315304395,6.7564855816573495,BlackASA
-3.255592122882673,-1.3354045921639828,BlackASA
-1.1799312416779657,4.87576705724564,BlackASA
-2.761967910874443,-0.4051845428252118,BlackASA
-0.3876944470442141,6.646291584222222,BlackASA
-2.2549601135470274,-0.5153625051811411,BlackASA
-0.025793999255777404,6.606811396210792,BlackASA
-2.349739622746906,-0.5695825793155963,BlackASA
-0.10902958723195316,6.413402447890511,BlackASA
-2.4827124061713084,-0.2753332938175869,BlackASA
-0.3268768846806385,6.987340810121473,BlackASA
-3.2800606639874026,-1.3717661118537423,BlackASA
-1.1768329777515703,4.949675815676437,BlackASA
-1.9172067692939023,-0.33056498939715184,BlackASA
0.3443478930318809,6.982095247007421,BlackASA
-1.7539313406022208,0.35354869662428184,BlackASA
0.5330797967989813,8.084238244719405,BlackASA
-3.7056258261985566,-1.553029768119827,BlackASA
-1.6385915667268378,4.589841552232901,BlackASA
-3.7200461360809607,-1.3959971659225268,BlackASA
-1.6548867032358623,4.837250887843997,BlackASA
-3.1772296717417303,-1.3648886828006777,BlackASA
-1.1469190978645873,4.822373664078871,BlackASA
-3.606384609372703,-1.50860518960548,BlackASA
-1.5493229296750284,4.6042309718010115,BlackASA
-2.8848177193374975,-0.3086407232538373,BlackASA
-0.6065422194869198,6.839456812572614,BlackASA
-3.4238681479673265,-0.844474169108225,BlackASA
-1.218648200042729,5.789197598154346,BlackASA
-2.6613422484759073,-0.20860714494737798,BlackASA
-0.45413996716755123,7.060114403170127,BlackASA
-2.472087913737552,-0.27049079975851287,BlackASA
-0.23795653399701994,6.986652796457573,BlackASA
-2.5028616911758697,-0.21908343338683778,BlackASA
-0.27637512170039685,7.071862193125423,BlackASA
-2.568374861634682,-0.18839038480484815,BlackASA
-0.3073473708335791,7.127307761166357,BlackASA
-2.59899495647795,-0.21710413861500708,BlackASA
-0.4055512044685978,7.078154302478269,BlackASA
-2.697565504344647,-0.2487307499949803,BlackASA
-0.5215913035341757,7.025480879875435,BlackASA
-2.5381525312968347,-0.1320786963840113,BlackASA
-0.314034420626515,7.22277494523156,BlackASA
-3.4835137141846597,-0.45919478106682465,BlackASA
-1.2664289450835011,6.576922985304992,BlackASA
-3.477038568698631,-0.47184963050899803,BlackASA
-1.2455631651040715,6.587671225814546,BlackASA
-3.234433692020516,-0.41099431333433767,BlackASA
-0.9625627112492062,6.652804940651807,BlackASA
-3.361411033159358,-0.3449375521559031,BlackASA
-1.1210678920905957,6.830738667251703,BlackASA
-3.2732400967751194,-0.48988798647951276,BlackASA
-1.1116969321224404,6.4661313977601935,BlackASA
-3.7024234265155,-1.5136592198583014,BlackASA
-1.6392123554787978,4.623784477296954,BlackASA
-2.5577800464939706,0.2082892224413923,BlackASA
-0.23414865762022852,7.736766914279053,BlackASA
-2.474134311763553,-0.17174053856381422,BlackASA
-0.5276932780086329,7.157730790841125,BlackASA
-2.379917986724102,-0.2872527039738894,BlackASA
-0.13951892039823785,6.9819418398734765,BlackASA
-2.3359732202654793,-0.08182677106053377,BlackASA
-0.1339672927776002,7.31534350573713,BlackASA
-2.4220697182661586,-0.4234421422928105,BlackASA
-0.22791622297718755,6.724766536032561,BlackASA
-2.7487888443680837,-0.5559835354119655,BlackASA
-0.9662292453071989,6.482570665285625,BlackASA
-3.233724339675952,-0.34012342906351956,BlackASA
-0.8831347156009511,6.7968864102589714,BlackASA
-2.6820613934540254,-0.44288093284286684,BlackASA
-0.5480611941411578,6.689886137248553,BlackASA
-3.7926785573953046,-1.7527606686867683,BlackASA
-1.6975662169847896,4.176142724845419,BlackASA
-4.017152201676678,-2.0330823822310653,BlackASA
-2.10458699128967,3.623475383555404,BlackASA
-3.271914889257774,-0.8110832699285381,BlackASA
-1.080184944287285,5.871959105413332,BlackASA
-2.4886012803024475,-0.24256591225417443,BlackASA
-0.24174042953978542,7.0024077182375875,BlackASA
-2.471265285168355,-0.14236094959456363,BlackASA
-0.21774595585854145,7.122692109527592,BlackASA
-2.6118331271350512,-0.2624959145426012,BlackASA
-0.40276597742044545,6.959498990866016,BlackASA
-2.4686685718756083,-0.22441287073703314,BlackASA
-0.2590192391907245,7.040446573882018,BlackASA
-2.541546286119226,-0.437081404756754,BlackASA
-0.3212474570798818,6.698114871051168,BlackASA
-2.4014116671047048,-0.23063999179674166,BlackASA
-0.19006950174928103,7.0381746237088985,BlackASA
-2.4924089604152573,-0.18470775417941077,BlackASA
-0.26870698324000036,7.120899131275955,BlackASA
-2.7832876003610036,-0.3809884213893024,BlackASA
-0.5976061821617351,6.7977018395307125,BlackASA
-2.514759660269488,-0.22631306022264208,BlackASA
-0.284462126072423,7.045513944562347,BlackASA
-2.483961505966306,-0.16286990034230706,BlackASA
-0.2529247204251573,7.156983508804779,BlackASA
-2.458656440406157,-0.3420494586522389,BlackASA
-0.23222484868704135,6.866660656765991,BlackASA
