Color,Material,Scan,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20
e,Dec,34,146.12,664.13,2015.94,196.69,1014.82,589.31,64.82,141.97,416.14,152.81,132.07,31.07,56.86,31.38,84.25,139.45,40.22,29.9,BlackASA,BlackASA
e,Dec,35,114.0,309.0,2153.0,224.0,1300.0,830.0,113.0,257.0,345.0,320.0,128.0,67.0,70.0,38.0,93.0,124.0,63.0,32.0,BlackASA,BlackASA
e,Dec,36,390.76,686.46,2009.38,187.91,1003.11,567.3,98.1,189.48,1173.64,207.25,228.03,32.92,76.36,40.46,138.61,97.84,42.78,31.77,BlackASA,BlackASA
e,Dec,37,324.0,316.0,2146.0,214.0,1285.0,799.0,171.0,343.0,973.0,434.0,221.0,71.0,94.0,49.0,153.0,87.0,67.0,34.0,BlackASA,BlackASA
e,Dec,38,367.77,658.3,1918.56,209.86,1009.36,613.45,116.45,215.44,1443.83,209.16,232.16,37.1,88.54,42.94,136.8,107.96,41.5,32.71,BlackASA,BlackASA
e,Dec,39,286.0,327.0,2049.0,239.0,1293.0,864.0,203.0,390.0,1197.0,438.0,225.0,80.0,109.0,52.0,151.0,96.0,65.0,35.0,BlackASA,BlackASA
e,Dec,40,153.51,632.09,1913.88,190.54,1010.14,565.17,60.23,130.92,435.44,157.58,134.13,30.14,49.55,29.73,80.63,134.95,39.59,28.97,BlackASA,BlackASA
e,Dec,41,123.0,286.0,2044.0,217.0,1294.0,796.0,105.0,237.0,361.0,330.0,130.0,65.0,61.0,36.0,89.0,120.0,62.0,31.0,BlackASA,BlackASA
e,Dec,42,145.3,628.2,1926.05,192.3,1007.02,576.53,65.97,138.1,394.43,149.94,128.98,31.53,51.18,28.08,83.35,139.45,39.59,28.97,BlackASA,BlackASA
e,Dec,43,117.0,289.0,2057.0,219.0,1290.0,812.0,115.0,250.0,327.0,314.0,125.0,68.0,63.0,34.0,92.0,124.0,62.0,31.0,BlackASA,BlackASA
e,Dec,44,180.6,631.12,1930.73,205.47,1010.92,616.29,62.53,137.55,455.95,141.82,153.74,32.46,64.17,34.68,88.78,148.44,38.31,30.84,BlackASA,BlackASA
e,Dec,45,127.0,308.0,2062.0,234.0,1295.0,868.0,109.0,249.0,378.0,297.0,149.0,70.0,79.0,42.0,98.0,132.0,60.0,33.0,BlackASA,BlackASA
