89,337,1995,269,1311,732,95,314,262,478,75,46,47,28,70,66,60,35
84,334,2006,268,1315,725,93,310,262,479,76,45,46,27,69,61,61,33
87,335,2010,269,1317,725,94,311,270,481,76,45,46,27,69,61,61,33
93,348,2013,280,1317,752,97,323,288,481,71,47,47,28,70,62,61,34
123,345,2020,278,1321,745,94,315,312,476,73,46,48,28,70,61,61,34
117,348,2022,281,1320,752,94,318,318,476,72,46,48,28,69,62,61,35
133,349,2025,283,1324,753,91,312,330,466,77,46,51,30,70,62,61,34
99,345,2023,279,1322,746,93,315,318,468,75,47,49,29,70,62,61,35
88,348,2020,282,1322,752,93,315,319,470,73,47,49,29,69,62,61,34
83,342,2022,277,1322,740,91,310,311,473,73,46,48,29,70,61,61,34
84,368,2023,297,1322,793,100,336,321,477,77,49,50,30,69,64,62,36
81,344,2022,278,1321,742,97,321,267,486,70,46,47,27,69,61,62,34
85,339,2023,273,1322,729,94,314,249,485,76,46,48,27,69,60,62,33
93,350,2022,282,1321,752,97,325,260,484,71,47,48,26,68,62,62,34
91,344,2022,277,1321,739,96,319,260,485,70,46,47,26,68,60,62,34
93,370,2024,299,1322,796,104,344,277,486,75,50,51,28,68,64,62,36
89,368,2025,298,1322,794,102,340,277,485,76,50,51,28,68,64,62,36
120,351,2029,284,1326,755,90,309,306,470,72,47,49,29,69,61,62,34
114,370,2030,300,1327,797,97,332,329,455,78,49,52,30,69,64,62,36
101,349,2029,283,1325,752,95,321,326,481,74,47,50,29,70,61,62,34
94,349,2028,283,1325,753,96,323,324,483,74,47,49,29,70,61,62,34
84,338,2023,273,1302,734,97,319,285,477,71,47,46,27,69,62,62,34
76,338,2014,273,1295,740,100,322,257,478,66,47,44,25,69,64,62,34
74,323,1995,258,1283,715,100,310,243,468,74,47,44,24,69,66,61,33
81,337,2004,269,1287,742,105,324,211,472,65,49,44,23,68,66,62,34
80,338,2011,271,1291,745,103,323,222,473,66,48,45,25,69,67,62,34
84,331,2014,265,1294,728,97,309,276,463,73,47,46,27,70,68,62,35
97,338,2021,272,1298,745,94,305,311,451,72,47,47,28,71,65,62,34
134,341,2021,273,1299,746,82,279,322,423,75,46,50,30,71,65,61,34
152,342,2022,273,1300,746,74,259,320,388,77,45,52,31,70,65,60,33
151,343,2025,274,1304,749,68,243,310,368,74,45,50,29,69,63,60,33
133,339,2025,272,1305,742,64,229,313,355,75,43,51,30,69,63,59,33
123,332,2023,265,1303,724,64,226,294,356,79,43,52,29,69,65,59,33
103,339,2021,271,1301,740,69,242,277,369,73,44,53,28,68,62,60,33
97,341,2023,272,1302,743,76,263,253,383,72,46,54,27,68,63,60,33
94,332,2025,265,1303,721,79,267,231,406,76,45,53,25,67,60,61,33
98,334,2024,266,1301,723,85,284,216,436,74,45,44,23,67,60,62,33
103,333,2025,265,1301,721,84,281,226,433,74,46,51,24,67,65,62,35
105,346,2026,275,1301,746,87,294,238,437,70,47,50,24,67,62,62,34
113,346,2026,275,1303,746,87,293,244,437,71,46,51,25,67,61,62,34
99,341,2027,272,1304,739,84,285,262,433,71,46,49,26,68,62,62,34
100,347,2028,277,1304,751,86,291,254,434,71,47,49,25,68,63,62,34
93,344,2029,276,1305,747,86,291,268,435,69,47,49,26,68,63,62,34
95,364,2030,292,1306,791,88,301,314,428,77,49,53,29,69,65,62,36
90,339,2031,273,1306,738,80,276,302,425,72,46,50,28,69,62,62,34
95,333,2030,267,1306,723,77,266,300,413,78,44,49,28,69,61,61,33
111,364,2032,293,1309,793,74,263,330,380,79,47,53,31,69,65,60,35
94,341,2034,274,1310,741,71,253,307,384,74,44,50,29,68,60,61,33
90,341,2033,274,1308,739,75,263,302,403,74,45,50,29,68,60,61,33
108,349,2031,278,1306,752,83,286,246,426,74,46,52,25,67,62,62,34
151,346,2030,273,1304,736,90,301,164,455,80,46,46,22,66,65,62,34
167,351,2031,276,1305,745,91,306,174,459,86,46,50,24,68,65,63,34
211,343,2030,267,1304,721,91,303,191,459,86,45,48,23,66,64,63,33
207,353,2027,275,1303,743,92,305,289,458,90,47,55,30,72,68,63,34
141,339,2028,268,1304,722,84,283,170,445,95,45,47,23,71,64,63,35
131,338,2030,267,1305,721,84,282,173,437,81,45,49,23,66,60,62,33
134,352,2031,278,1305,751,87,293,166,436,69,47,48,22,65,61,62,34
145,343,2031,271,1306,730,86,288,157,438,70,46,43,21,64,63,62,35
100,338,2033,271,1309,731,74,259,288,401,71,45,48,27,67,62,61,34
80,340,2035,273,1308,737,99,321,243,478,67,47,44,24,69,61,62,34
84,341,2033,273,1305,738,103,328,196,487,65,48,44,23,67,63,63,34
84,345,2034,277,1307,747,101,326,228,484,66,47,44,24,68,62,63,34
100,343,2032,273,1304,738,103,326,169,489,64,47,44,22,66,63,63,34
95,346,2032,276,1303,746,104,330,163,490,65,48,46,22,66,64,63,34
100,345,2030,275,1303,744,105,330,151,490,68,48,49,22,67,65,63,34
98,343,2029,273,1302,740,104,328,162,489,68,47,45,22,67,65,63,34
90,340,2029,271,1302,736,103,325,187,489,69,47,44,23,67,63,63,34
102,336,2033,270,1306,731,96,313,297,476,76,47,47,27,70,65,62,35
91,344,2034,277,1307,748,98,320,289,477,68,47,45,26,69,62,62,34
95,332,2033,267,1306,722,93,306,265,472,76,46,45,26,70,62,62,33
98,340,2034,274,1307,740,95,312,268,469,72,47,48,28,70,63,62,34
85,344,2033,277,1306,748,97,318,259,473,72,47,48,27,69,63,63,34
82,344,2033,277,1306,749,99,322,241,478,73,48,50,28,70,64,63,34
83,344,2034,277,1306,748,100,323,254,479,72,48,47,27,70,65,63,34
83,333,2034,267,1307,723,97,313,261,479,76,47,46,27,70,66,63,35
100,342,2035,275,1307,743,99,323,298,478,71,48,46,27,70,63,62,35
89,340,2037,274,1308,738,98,320,277,482,69,47,46,26,70,63,63,34
93,340,2037,274,1308,738,97,318,284,481,71,47,46,27,70,62,63,34
81,334,2037,269,1308,724,97,314,243,484,73,46,45,26,69,62,63,33
81,333,2037,268,1309,723,96,311,249,479,77,46,46,27,70,62,63,33
88,365,2036,294,1308,793,103,337,270,475,78,50,51,29,69,67,63,36
98,334,2040,269,1311,725,92,304,270,468,76,46,47,27,69,61,63,33
114,341,2039,276,1311,741,95,313,269,466,72,47,48,28,69,62,63,34
129,337,2039,271,1311,729,93,306,276,467,77,47,47,28,70,66,63,35
134,338,2039,273,1311,732,93,308,314,468,78,46,48,28,70,64,62,35
84,335,2034,269,1306,726,99,318,240,487,73,47,44,25,68,65,63,35
82,343,2034,274,1306,741,102,326,205,488,66,47,44,23,68,63,63,34
